Lat,Lon,Time Range,geartype,Vessel IDs,Apparent Fishing Hours
18.1,125.1,2020,tuna_purse_seines,1,1.6
20.1,125,2020,drifting_longlines,1,0.79
14.7,120.1,2020,tuna_purse_seines,1,3.37
10.9,125.4,2020,inconclusive,1,2.55
10.8,125.1,2020,inconclusive,1,2.02
10.9,125.5,2020,inconclusive,1,1.61
14.6,120,2020,tuna_purse_seines,1,4.14
19.9,124.8,2020,drifting_longlines,1,15.85
6.8,125.7,2020,drifting_longlines,1,1.66
14.8,119.8,2020,inconclusive,1,5.7
9.2,129.3,2020,drifting_longlines,1,1.12
14.2,120.3,2020,tuna_purse_seines,1,1.75
9.1,128.5,2020,drifting_longlines,1,0
21.3,123.7,2020,drifting_longlines,1,22.29
8.7,129.6,2020,drifting_longlines,1,1.64
8.5,129.7,2020,drifting_longlines,1,6.75
8.8,129.1,2020,drifting_longlines,1,1.02
9.1,129.3,2020,drifting_longlines,1,4.65
11.1,125.3,2020,inconclusive,1,4.09
11,125.3,2020,inconclusive,1,0.83
14.6,120.9,2020,tuna_purse_seines,2,4.67
20.6,125,2020,drifting_longlines,1,5.28
21.1,124.8,2020,drifting_longlines,1,3.36
14.2,120.1,2020,tuna_purse_seines,1,0.5
6.4,126.4,2020,drifting_longlines,1,4.15
9.5,129.6,2020,drifting_longlines,1,0.77
7.6,127.7,2020,drifting_longlines,1,24.03
8,129.3,2020,drifting_longlines,1,0.23
10.9,125.7,2020,inconclusive,1,1.66
14.6,120.1,2020,tuna_purse_seines,1,10.44
17.7,125.2,2020,tuna_purse_seines,1,2.1
7.9,128.2,2020,drifting_longlines,1,4.13
20.1,124.2,2020,drifting_longlines,1,5.52
6.6,126.9,2020,drifting_longlines,1,0.56
18.3,118.2,2020,drifting_longlines,1,1.85
14.5,120.8,2020,inconclusive,1,1.99
14.6,121,2020,inconclusive,1,0.4
21,125.4,2020,drifting_longlines,1,2.43
14.6,120.8,2020,inconclusive,1,284.25
20.1,125.1,2020,drifting_longlines,1,12.01
19.2,125.7,2020,drifting_longlines,1,7.55
19.9,125.1,2020,drifting_longlines,1,4.68
14.5,120.6,2020,inconclusive,1,6.15
7,125.7,2020,inconclusive,1,2.07
7,125.5,2020,drifting_longlines,2,2.27
7.2,127,2020,drifting_longlines,1,19.54
20.5,125.4,2020,drifting_longlines,1,4.69
5.9,125.1,2020,tuna_purse_seines,3,3.21
10.7,125.4,2020,inconclusive,1,4.14
8,128.3,2020,drifting_longlines,1,1.05
7,125.6,2020,drifting_longlines,4,23.68
21.6,124.4,2020,drifting_longlines,1,8.86
8.4,128.7,2020,drifting_longlines,1,2.7
8.7,129.8,2020,drifting_longlines,1,0.83
21,123.6,2020,drifting_longlines,1,7.13
10.8,125.6,2020,inconclusive,1,3.92
5.7,125,2020,tuna_purse_seines,2,13.4
6.8,125.6,2020,drifting_longlines,1,1.3
8.4,129.5,2020,drifting_longlines,1,8.15
14.6,120.9,2020,fishing,1,49.26
20,124.9,2020,drifting_longlines,1,11.79
15.3,127.2,2020,tuna_purse_seines,1,1.94
21.1,124.6,2020,drifting_longlines,1,13.08
6.9,125.9,2020,inconclusive,1,1.04
7.2,125.9,2020,inconclusive,1,4.95
19.4,125.6,2020,drifting_longlines,1,1.32
5.7,125.1,2020,tuna_purse_seines,2,4.39
8.8,129.7,2020,drifting_longlines,1,2.08
11,125.1,2020,inconclusive,1,0.97
18.1,125.2,2020,tuna_purse_seines,1,3.2
10.9,125.2,2020,inconclusive,1,2.31
11.1,125.1,2020,inconclusive,1,0.68
20.3,125,2020,drifting_longlines,1,5.79
8.5,129.8,2020,drifting_longlines,1,0.92
9,129.1,2020,drifting_longlines,1,1.82
14.3,120.2,2020,tuna_purse_seines,1,0.33
20.7,125,2020,drifting_longlines,1,0.14
20.2,124.4,2020,drifting_longlines,1,5.94
6.7,125.8,2020,drifting_longlines,1,3.36
